mass_A
t	x	y
0,000000000E0	-6,117961821E1	5,029116624E1
1,000000000E-2	-6,120377421E1	5,031180436E1
2,000000000E-2	-6,120309770E1	5,031519727E1
3,000000000E-2	-6,119681062E1	5,030677107E1
4,000000000E-2	-6,120130547E1	5,024978712E1
5,000000000E-2	-6,110079403E1	5,010253205E1
6,000000000E-2	-6,102223349E1	4,995654978E1
7,000000000E-2	-6,090900595E1	4,971059485E1
8,000000000E-2	-6,074277703E1	4,936258047E1
9,000000000E-2	-6,057460568E1	4,900069478E1
1,000000000E-1	-6,037805017E1	4,860594198E1
1,100000000E-1	-6,013916318E1	4,812874256E1
1,200000000E-1	-5,987631792E1	4,761053153E1
1,300000000E-1	-5,956878390E1	4,701634702E1
1,400000000E-1	-5,927444723E1	4,633800345E1
1,500000000E-1	-5,891830522E1	4,561382549E1
1,600000000E-1	-5,853220189E1	4,486888066E1
1,700000000E-1	-5,815434595E1	4,403688537E1
1,800000000E-1	-5,771315833E1	4,317938226E1
1,900000000E-1	-5,725128894E1	4,224307252E1
2,000000000E-1	-5,675704852E1	4,125205904E1
2,100000000E-1	-5,626114132E1	4,018632242E1
2,200000000E-1	-5,574419194E1	3,908525301E1
2,300000000E-1	-5,515841283E1	3,797471126E1
2,400000000E-1	-5,453769003E1	3,679306570E1
2,500000000E-1	-5,384591808E1	3,558173855E1
2,600000000E-1	-5,313783312E1	3,429624511E1
2,700000000E-1	-5,238097052E1	3,294793602E1
2,800000000E-1	-5,156285629E1	3,163330195E1
2,900000000E-1	-5,070210497E1	3,021835917E1
3,000000000E-1	-4,979451744E1	2,878479652E1
3,100000000E-1	-4,879478091E1	2,732264985E1
3,200000000E-1	-4,774383673E1	2,586686319E1
3,300000000E-1	-4,661607342E1	2,436187248E1
3,400000000E-1	-4,542561966E1	2,283519591E1
3,500000000E-1	-4,410485974E1	2,138726268E1
3,600000000E-1	-4,276077005E1	1,980533067E1
3,700000000E-1	-4,150027992E1	1,830606800E1
3,800000000E-1	-4,001762138E1	1,678970364E1
3,900000000E-1	-3,850833125E1	1,526235243E1
4,000000000E-1	-3,688017708E1	1,379295809E1
4,100000000E-1	-3,516206187E1	1,234910843E1
4,200000000E-1	-3,336729254E1	1,094226919E1
4,300000000E-1	-3,146223186E1	9,619155074E0
4,400000000E-1	-2,945124107E1	8,383162309E0
4,500000000E-1	-2,732533683E1	7,227386163E0
4,600000000E-1	-2,507208120E1	6,189457651E0
4,700000000E-1	-2,294747594E1	5,360676434E0
4,800000000E-1	-2,067082745E1	4,538410325E0
4,900000000E-1	-1,835378028E1	3,713162076E0
5,000000000E-1	-1,595213657E1	3,101757932E0
5,100000000E-1	-1,350528394E1	2,616793418E0
5,200000000E-1	-1,107520944E1	2,218207059E0
5,300000000E-1	-8,671572104E0	1,893615206E0
5,400000000E-1	-6,130556411E0	1,619128022E0
5,500000000E-1	-3,655392447E0	1,411592028E0
5,600000000E-1	-1,159268286E0	1,239321756E0
5,700000000E-1	1,312783454E0	1,187833893E0
5,800000000E-1	3,806114788E0	1,204355263E0
5,900000000E-1	6,235043975E0	1,311057591E0
6,000000000E-1	8,703441529E0	1,514972458E0
6,100000000E-1	1,122646515E1	1,783688946E0
6,200000000E-1	1,344429159E1	2,027333316E0
6,300000000E-1	1,582514855E1	2,377069759E0
6,400000000E-1	1,820087853E1	2,841438195E0
6,500000000E-1	2,054860025E1	3,410949946E0
6,600000000E-1	2,286211249E1	4,036656836E0
6,700000000E-1	2,509815715E1	4,863028421E0
6,800000000E-1	2,711773212E1	5,593990258E0
6,900000000E-1	2,942000942E1	6,582392617E0
7,000000000E-1	3,145821327E1	7,531381862E0
7,100000000E-1	3,344336086E1	8,645626744E0
7,200000000E-1	3,535411413E1	9,768477412E0
